OverallQual;YearBuilt;ExterQual;BsmtQual;TotalBsmtSF;GrLivArea;FullBath;KitchenQual;GarageCars;OverallGrade
7.0;2003.0;4.0;4.0;856.0;1710.0;2.0;4.0;2.0;35.0
6.0;1976.0;3.0;4.0;1262.0;1262.0;2.0;3.0;2.0;48.0
7.0;2001.0;4.0;4.0;920.0;1786.0;2.0;4.0;2.0;35.0
7.0;1915.0;3.0;3.0;756.0;1717.0;1.0;4.0;3.0;35.0
8.0;2000.0;4.0;4.0;1145.0;2198.0;2.0;4.0;3.0;40.0
5.0;1993.0;3.0;4.0;796.0;1362.0;1.0;3.0;2.0;25.0
8.0;2004.0;4.0;5.0;1686.0;1694.0;2.0;4.0;2.0;40.0
7.0;1973.0;3.0;4.0;1107.0;2090.0;2.0;3.0;2.0;42.0
7.0;1931.0;3.0;3.0;952.0;1774.0;2.0;3.0;2.0;35.0
5.0;1939.0;3.0;3.0;991.0;1077.0;1.0;3.0;1.0;30.0
5.0;1965.0;3.0;3.0;1040.0;1040.0;1.0;3.0;1.0;25.0
9.0;2005.0;5.0;5.0;1175.0;2324.0;3.0;5.0;3.0;45.0
5.0;1962.0;3.0;3.0;912.0;912.0;1.0;3.0;1.0;30.0
7.0;2006.0;4.0;4.0;1494.0;1494.0;2.0;4.0;3.0;35.0
6.0;1960.0;3.0;3.0;1253.0;1253.0;1.0;3.0;1.0;30.0
7.0;1929.0;3.0;3.0;832.0;854.0;1.0;3.0;2.0;56.0
6.0;1970.0;3.0;3.0;1004.0;1004.0;1.0;3.0;2.0;42.0
4.0;1967.0;3.0;0.0;0.0;1296.0;2.0;3.0;2.0;20.0
5.0;2004.0;3.0;3.0;1114.0;1114.0;1.0;4.0;2.0;25.0
5.0;1958.0;3.0;3.0;1029.0;1339.0;1.0;3.0;1.0;30.0
8.0;2005.0;4.0;5.0;1158.0;2376.0;3.0;4.0;3.0;40.0
7.0;1930.0;3.0;3.0;637.0;1108.0;1.0;4.0;1.0;49.0
8.0;2002.0;4.0;4.0;1777.0;1795.0;2.0;4.0;2.0;40.0
5.0;1976.0;3.0;4.0;1040.0;1060.0;1.0;3.0;2.0;35.0
5.0;1968.0;3.0;3.0;1060.0;1060.0;1.0;4.0;1.0;40.0
8.0;2007.0;4.0;4.0;1566.0;1600.0;2.0;4.0;3.0;40.0
5.0;1951.0;3.0;3.0;900.0;900.0;1.0;4.0;2.0;35.0
8.0;2007.0;4.0;5.0;1704.0;1704.0;2.0;4.0;3.0;40.0
5.0;1957.0;3.0;3.0;1484.0;1600.0;1.0;3.0;1.0;30.0
4.0;1927.0;3.0;3.0;520.0;520.0;1.0;2.0;1.0;24.0
4.0;1920.0;3.0;3.0;649.0;1317.0;1.0;3.0;1.0;16.0
5.0;1966.0;3.0;3.0;1228.0;1228.0;1.0;4.0;1.0;30.0
8.0;2007.0;4.0;5.0;1234.0;1234.0;2.0;4.0;2.0;40.0
5.0;1959.0;3.0;3.0;1398.0;1700.0;1.0;4.0;2.0;25.0
9.0;2005.0;5.0;5.0;1561.0;1561.0;2.0;5.0;2.0;45.0
8.0;2004.0;4.0;5.0;1117.0;2452.0;3.0;4.0;3.0;40.0
5.0;1994.0;3.0;4.0;1097.0;1097.0;1.0;3.0;2.0;25.0
5.0;1954.0;3.0;3.0;1297.0;1297.0;1.0;3.0;2.0;30.0
5.0;1953.0;3.0;3.0;1057.0;1057.0;1.0;4.0;1.0;35.0
4.0;1955.0;3.0;0.0;0.0;1152.0;2.0;2.0;0.0;20.0
6.0;1965.0;3.0;3.0;1088.0;1324.0;2.0;3.0;2.0;30.0
5.0;1959.0;3.0;3.0;1350.0;1328.0;1.0;3.0;1.0;30.0
5.0;1983.0;3.0;4.0;840.0;884.0;1.0;4.0;2.0;35.0
5.0;1975.0;3.0;4.0;938.0;938.0;1.0;3.0;1.0;30.0
5.0;1959.0;3.0;3.0;1150.0;1150.0;1.0;3.0;1.0;30.0
9.0;2005.0;5.0;5.0;1752.0;1752.0;2.0;5.0;2.0;45.0
7.0;2003.0;4.0;5.0;1434.0;2149.0;1.0;4.0;2.0;35.0
8.0;2006.0;4.0;4.0;1656.0;1656.0;2.0;4.0;3.0;40.0
4.0;1920.0;3.0;3.0;736.0;1452.0;2.0;3.0;0.0;20.0
5.0;1966.0;3.0;3.0;955.0;955.0;1.0;3.0;1.0;35.0
6.0;1997.0;3.0;4.0;794.0;1470.0;2.0;3.0;2.0;36.0
6.0;1934.0;3.0;3.0;816.0;1176.0;1.0;3.0;2.0;36.0
5.0;1963.0;2.0;4.0;816.0;816.0;1.0;3.0;2.0;25.0
9.0;1981.0;4.0;5.0;1842.0;1842.0;0.0;4.0;3.0;45.0
5.0;1955.0;3.0;3.0;384.0;1360.0;1.0;3.0;2.0;25.0
6.0;1964.0;3.0;3.0;1425.0;1425.0;2.0;3.0;2.0;30.0
8.0;1999.0;4.0;4.0;970.0;1739.0;2.0;4.0;2.0;40.0
7.0;2004.0;4.0;4.0;860.0;1720.0;2.0;4.0;2.0;35.0
10.0;2006.0;5.0;5.0;1410.0;2945.0;3.0;4.0;3.0;50.0
5.0;1972.0;3.0;3.0;780.0;780.0;1.0;3.0;1.0;35.0
6.0;2004.0;3.0;4.0;1158.0;1158.0;1.0;4.0;2.0;30.0
5.0;1920.0;3.0;3.0;530.0;1111.0;1.0;2.0;1.0;35.0
8.0;2006.0;4.0;4.0;1370.0;1370.0;2.0;4.0;2.0;40.0
7.0;1921.0;3.0;3.0;576.0;1710.0;2.0;3.0;2.0;42.0
7.0;1997.0;3.0;4.0;1057.0;2034.0;2.0;4.0;2.0;35.0
8.0;2004.0;4.0;5.0;1143.0;2473.0;2.0;4.0;3.0;40.0
7.0;1970.0;3.0;4.0;1947.0;2207.0;2.0;3.0;2.0;35.0
7.0;2003.0;4.0;4.0;1453.0;1479.0;2.0;4.0;2.0;35.0
4.0;1945.0;3.0;3.0;747.0;747.0;1.0;3.0;1.0;24.0
7.0;1953.0;4.0;3.0;1304.0;2287.0;2.0;3.0;2.0;28.0
7.0;1973.0;3.0;4.0;2223.0;2223.0;2.0;3.0;2.0;42.0
4.0;1982.0;3.0;3.0;845.0;845.0;1.0;3.0;2.0;24.0
7.0;1998.0;3.0;4.0;832.0;1718.0;2.0;3.0;2.0;35.0
5.0;1954.0;3.0;3.0;1086.0;1086.0;1.0;3.0;2.0;35.0
3.0;1915.0;4.0;2.0;840.0;1605.0;2.0;3.0;1.0;18.0
4.0;1973.0;3.0;4.0;462.0;988.0;1.0;3.0;1.0;20.0
4.0;1956.0;3.0;3.0;952.0;952.0;1.0;3.0;1.0;28.0
5.0;1948.0;3.0;3.0;672.0;1285.0;1.0;3.0;1.0;25.0
4.0;1968.0;3.0;3.0;1768.0;1768.0;2.0;3.0;0.0;20.0
5.0;1910.0;3.0;3.0;440.0;1230.0;1.0;3.0;2.0;30.0
6.0;1968.0;3.0;4.0;896.0;2142.0;2.0;4.0;1.0;36.0
6.0;1998.0;3.0;5.0;1237.0;1337.0;2.0;3.0;2.0;30.0
8.0;2007.0;3.0;4.0;1563.0;1563.0;2.0;4.0;3.0;40.0
5.0;1960.0;3.0;3.0;1065.0;1065.0;1.0;3.0;2.0;25.0
7.0;1995.0;3.0;4.0;384.0;1474.0;2.0;3.0;2.0;35.0
8.0;1991.0;4.0;4.0;1288.0;2417.0;2.0;4.0;2.0;40.0
6.0;2005.0;4.0;4.0;684.0;1560.0;2.0;4.0;2.0;30.0
6.0;2009.0;4.0;4.0;612.0;1224.0;2.0;4.0;2.0;30.0
3.0;1915.0;2.0;3.0;1013.0;1526.0;1.0;2.0;0.0;6.0
4.0;1994.0;3.0;4.0;990.0;990.0;1.0;3.0;0.0;20.0
4.0;1950.0;3.0;0.0;0.0;1040.0;1.0;3.0;2.0;20.0
5.0;1961.0;3.0;3.0;1235.0;1235.0;1.0;3.0;2.0;15.0
5.0;1921.0;3.0;4.0;876.0;964.0;1.0;3.0;2.0;35.0
6.0;1910.0;3.0;3.0;1214.0;2291.0;2.0;3.0;2.0;36.0
6.0;1997.0;3.0;4.0;824.0;1786.0;2.0;4.0;2.0;30.0
6.0;1993.0;5.0;4.0;680.0;1470.0;2.0;3.0;2.0;48.0
7.0;1999.0;4.0;4.0;1588.0;1588.0;2.0;4.0;2.0;35.0
4.0;1965.0;3.0;3.0;960.0;960.0;1.0;3.0;1.0;20.0
5.0;1920.0;3.0;3.0;458.0;835.0;1.0;3.0;1.0;25.0
4.0;1959.0;3.0;3.0;950.0;1225.0;1.0;3.0;0.0;20.0
6.0;1977.0;3.0;3.0;1610.0;1610.0;2.0;4.0;2.0;42.0
6.0;1985.0;4.0;4.0;741.0;1732.0;2.0;4.0;2.0;30.0
5.0;1979.0;3.0;0.0;0.0;1535.0;2.0;3.0;2.0;25.0
7.0;2009.0;3.0;4.0;1226.0;1226.0;2.0;4.0;3.0;35.0
7.0;1931.0;3.0;3.0;1040.0;1818.0;1.0;3.0;1.0;28.0
8.0;2003.0;4.0;5.0;1053.0;1992.0;2.0;4.0;2.0;40.0
4.0;1885.0;3.0;2.0;641.0;1047.0;1.0;3.0;1.0;28.0
5.0;1948.0;3.0;3.0;789.0;789.0;1.0;3.0;1.0;25.0
5.0;1919.0;3.0;3.0;793.0;1517.0;2.0;2.0;0.0;35.0
6.0;1977.0;3.0;4.0;1844.0;1844.0;2.0;3.0;2.0;36.0
6.0;1954.0;3.0;3.0;994.0;1855.0;2.0;3.0;1.0;24.0
7.0;2000.0;3.0;4.0;384.0;1430.0;2.0;3.0;2.0;35.0
7.0;2007.0;4.0;5.0;1264.0;2696.0;2.0;5.0;3.0;35.0
6.0;1953.0;3.0;4.0;1809.0;2259.0;2.0;4.0;2.0;30.0
6.0;1945.0;3.0;3.0;1028.0;2320.0;2.0;4.0;1.0;48.0
6.0;1999.0;3.0;4.0;729.0;1458.0;2.0;3.0;2.0;30.0
5.0;1962.0;3.0;3.0;1092.0;1092.0;1.0;3.0;1.0;25.0
5.0;2006.0;3.0;4.0;1125.0;1125.0;1.0;3.0;2.0;25.0
7.0;1990.0;3.0;4.0;1673.0;3222.0;3.0;4.0;3.0;35.0
6.0;2005.0;4.0;4.0;728.0;1456.0;2.0;4.0;2.0;30.0
6.0;1969.0;3.0;3.0;938.0;988.0;1.0;3.0;2.0;30.0
4.0;1939.0;3.0;3.0;732.0;1123.0;1.0;3.0;1.0;20.0
6.0;1958.0;3.0;3.0;1080.0;1080.0;1.0;3.0;1.0;42.0
6.0;1993.0;4.0;4.0;1199.0;1199.0;2.0;4.0;2.0;30.0
6.0;1979.0;3.0;4.0;1362.0;1586.0;2.0;3.0;2.0;30.0
6.0;1935.0;3.0;3.0;520.0;754.0;1.0;3.0;0.0;48.0
6.0;1976.0;3.0;4.0;1078.0;958.0;2.0;3.0;2.0;30.0
5.0;1930.0;3.0;3.0;672.0;840.0;1.0;3.0;0.0;35.0
6.0;1966.0;3.0;3.0;660.0;1348.0;1.0;3.0;2.0;30.0
5.0;1958.0;3.0;3.0;1008.0;1053.0;1.0;5.0;2.0;35.0
7.0;1966.0;3.0;3.0;924.0;2157.0;2.0;4.0;2.0;42.0
6.0;2000.0;4.0;4.0;992.0;2054.0;2.0;4.0;2.0;30.0
5.0;1959.0;3.0;3.0;1063.0;1327.0;1.0;4.0;2.0;30.0
8.0;2001.0;4.0;5.0;1267.0;1296.0;2.0;4.0;2.0;40.0
5.0;1968.0;3.0;3.0;1461.0;1721.0;2.0;3.0;2.0;30.0
7.0;1970.0;3.0;3.0;1304.0;1682.0;2.0;3.0;2.0;42.0
5.0;1967.0;3.0;3.0;1214.0;1214.0;2.0;3.0;1.0;25.0
7.0;1988.0;3.0;3.0;1907.0;1959.0;3.0;3.0;3.0;35.0
8.0;1999.0;4.0;4.0;1004.0;1852.0;2.0;4.0;3.0;40.0
6.0;1997.0;3.0;4.0;928.0;1764.0;2.0;4.0;2.0;30.0
4.0;1971.0;3.0;3.0;864.0;864.0;1.0;3.0;0.0;20.0
7.0;2005.0;4.0;4.0;1734.0;1734.0;2.0;4.0;2.0;35.0
5.0;1952.0;3.0;3.0;910.0;1385.0;2.0;3.0;2.0;20.0
7.0;1999.0;4.0;4.0;1490.0;1501.0;2.0;4.0;2.0;35.0
5.0;1963.0;3.0;3.0;1728.0;1728.0;2.0;3.0;2.0;25.0
6.0;2004.0;4.0;4.0;970.0;1709.0;2.0;4.0;2.0;30.0
5.0;1931.0;3.0;3.0;715.0;875.0;1.0;3.0;1.0;35.0
7.0;2001.0;4.0;4.0;884.0;2035.0;2.0;4.0;2.0;35.0
7.0;2004.0;3.0;4.0;1080.0;1080.0;1.0;4.0;0.0;35.0
5.0;1936.0;3.0;4.0;896.0;1344.0;1.0;3.0;1.0;20.0
5.0;1975.0;3.0;3.0;969.0;969.0;1.0;3.0;2.0;30.0
8.0;2007.0;4.0;5.0;1710.0;1710.0;2.0;4.0;3.0;40.0
6.0;1971.0;3.0;3.0;825.0;1993.0;2.0;3.0;2.0;30.0
6.0;1960.0;3.0;4.0;1602.0;1252.0;1.0;3.0;2.0;42.0
6.0;1923.0;3.0;3.0;1200.0;1200.0;1.0;3.0;1.0;30.0
6.0;1924.0;3.0;3.0;572.0;1096.0;1.0;3.0;0.0;30.0
5.0;1950.0;3.0;0.0;0.0;1040.0;1.0;3.0;2.0;35.0
8.0;2009.0;4.0;5.0;774.0;1968.0;2.0;5.0;3.0;40.0
7.0;2004.0;4.0;4.0;991.0;1947.0;2.0;4.0;2.0;35.0
7.0;2005.0;4.0;4.0;1392.0;2462.0;2.0;4.0;2.0;35.0
6.0;1984.0;3.0;4.0;1232.0;1232.0;2.0;3.0;2.0;36.0
9.0;2003.0;4.0;5.0;1572.0;2668.0;2.0;5.0;3.0;45.0
7.0;2005.0;4.0;4.0;1541.0;1541.0;2.0;4.0;2.0;35.0
4.0;1956.0;3.0;3.0;882.0;882.0;1.0;3.0;0.0;24.0
6.0;1926.0;3.0;3.0;1149.0;1616.0;2.0;4.0;1.0;42.0
5.0;1940.0;3.0;3.0;644.0;1355.0;2.0;3.0;0.0;35.0
5.0;1955.0;4.0;3.0;1617.0;1867.0;1.0;3.0;1.0;25.0
8.0;2007.0;4.0;5.0;1582.0;2161.0;1.0;5.0;3.0;40.0
7.0;2004.0;4.0;4.0;840.0;1720.0;2.0;4.0;2.0;35.0
8.0;1981.0;4.0;4.0;1686.0;1707.0;2.0;3.0;2.0;48.0
5.0;1941.0;3.0;3.0;720.0;1382.0;1.0;3.0;2.0;30.0
6.0;1960.0;3.0;3.0;1080.0;1656.0;1.0;3.0;2.0;30.0
7.0;1987.0;4.0;4.0;1064.0;1767.0;2.0;4.0;2.0;49.0
6.0;1961.0;3.0;3.0;1362.0;1362.0;1.0;3.0;2.0;30.0
6.0;1986.0;3.0;4.0;1606.0;1651.0;2.0;3.0;2.0;30.0
6.0;1950.0;3.0;3.0;1202.0;2158.0;2.0;4.0;2.0;42.0
6.0;1988.0;4.0;4.0;1151.0;2060.0;2.0;3.0;2.0;30.0
5.0;1958.0;4.0;3.0;1052.0;1920.0;2.0;4.0;2.0;25.0
9.0;2008.0;5.0;5.0;2216.0;2234.0;2.0;5.0;3.0;45.0
5.0;1923.0;4.0;3.0;968.0;968.0;1.0;3.0;2.0;30.0
6.0;2000.0;4.0;4.0;756.0;1525.0;2.0;4.0;2.0;30.0
7.0;1920.0;3.0;2.0;793.0;1802.0;1.0;3.0;1.0;42.0
5.0;1957.0;3.0;0.0;0.0;1340.0;1.0;3.0;1.0;30.0
7.0;2003.0;3.0;4.0;1362.0;2082.0;2.0;4.0;2.0;35.0
5.0;1908.0;3.0;2.0;504.0;1252.0;1.0;3.0;2.0;40.0
10.0;1892.0;4.0;3.0;1107.0;3608.0;2.0;5.0;3.0;90.0
7.0;1990.0;3.0;4.0;1188.0;1217.0;2.0;4.0;2.0;35.0
5.0;1916.0;3.0;2.0;660.0;1656.0;2.0;3.0;1.0;35.0
5.0;1979.0;3.0;4.0;1086.0;1224.0;0.0;3.0;2.0;25.0
8.0;2001.0;4.0;5.0;1593.0;1593.0;1.0;5.0;2.0;40.0
8.0;1932.0;4.0;4.0;853.0;2727.0;2.0;4.0;2.0;64.0
7.0;1972.0;3.0;3.0;725.0;1479.0;1.0;4.0;2.0;63.0
7.0;1999.0;4.0;4.0;1431.0;1431.0;2.0;4.0;2.0;35.0
7.0;2004.0;4.0;4.0;970.0;1709.0;2.0;4.0;2.0;35.0
5.0;1972.0;3.0;3.0;864.0;864.0;1.0;3.0;1.0;35.0
6.0;1976.0;3.0;4.0;855.0;1456.0;2.0;3.0;2.0;36.0
7.0;2007.0;5.0;5.0;1726.0;1726.0;2.0;5.0;3.0;35.0
8.0;1918.0;4.0;3.0;1360.0;3112.0;2.0;4.0;2.0;32.0
6.0;1912.0;3.0;3.0;755.0;2229.0;1.0;3.0;0.0;36.0
8.0;2004.0;4.0;5.0;1713.0;1713.0;2.0;5.0;3.0;40.0
4.0;2003.0;3.0;4.0;1121.0;1121.0;2.0;3.0;2.0;20.0
6.0;1977.0;3.0;3.0;1196.0;1279.0;2.0;3.0;2.0;36.0
6.0;1924.0;3.0;2.0;617.0;1310.0;2.0;3.0;1.0;36.0
6.0;2004.0;4.0;4.0;848.0;848.0;1.0;4.0;2.0;30.0
5.0;1947.0;3.0;3.0;720.0;1284.0;1.0;3.0;1.0;35.0
7.0;1990.0;3.0;4.0;1424.0;1442.0;2.0;3.0;2.0;35.0
5.0;1962.0;3.0;3.0;1140.0;1696.0;1.0;3.0;1.0;25.0
4.0;1960.0;3.0;3.0;1100.0;1100.0;1.0;3.0;1.0;20.0
7.0;1988.0;4.0;4.0;1157.0;2062.0;2.0;3.0;2.0;35.0
6.0;1964.0;3.0;4.0;1092.0;1092.0;1.0;3.0;2.0;42.0
5.0;1925.0;3.0;3.0;864.0;864.0;1.0;3.0;0.0;30.0
6.0;2009.0;3.0;4.0;1212.0;1212.0;2.0;4.0;2.0;30.0
7.0;2009.0;3.0;4.0;900.0;1852.0;2.0;4.0;2.0;35.0
5.0;1995.0;3.0;4.0;990.0;990.0;1.0;3.0;2.0;25.0
6.0;1977.0;3.0;4.0;689.0;1392.0;1.0;3.0;1.0;42.0
5.0;1957.0;3.0;3.0;1070.0;1236.0;1.0;4.0;1.0;30.0
7.0;2004.0;4.0;4.0;1436.0;1436.0;2.0;4.0;2.0;35.0
4.0;1925.0;3.0;3.0;686.0;1328.0;1.0;3.0;1.0;16.0
7.0;1939.0;4.0;3.0;798.0;1954.0;1.0;4.0;2.0;63.0
7.0;2005.0;4.0;4.0;1248.0;1248.0;2.0;4.0;2.0;35.0
7.0;2006.0;4.0;4.0;1498.0;1498.0;2.0;4.0;2.0;35.0
6.0;2002.0;4.0;4.0;1010.0;2267.0;2.0;4.0;2.0;30.0
6.0;1975.0;3.0;4.0;713.0;1552.0;2.0;3.0;2.0;36.0
4.0;1971.0;3.0;3.0;864.0;864.0;1.0;3.0;2.0;24.0
10.0;2003.0;5.0;5.0;2392.0;2392.0;2.0;5.0;3.0;50.0
5.0;1971.0;3.0;3.0;630.0;1302.0;2.0;3.0;1.0;25.0
7.0;1995.0;4.0;4.0;1203.0;2520.0;2.0;4.0;3.0;35.0
6.0;1970.0;3.0;3.0;483.0;987.0;1.0;3.0;1.0;36.0
5.0;1967.0;3.0;3.0;912.0;912.0;1.0;3.0;1.0;25.0
7.0;2005.0;4.0;4.0;1373.0;1555.0;2.0;4.0;2.0;35.0
6.0;1959.0;3.0;3.0;1194.0;1194.0;1.0;3.0;1.0;36.0
8.0;1995.0;4.0;4.0;1462.0;2794.0;2.0;5.0;3.0;40.0
6.0;1972.0;3.0;3.0;483.0;987.0;1.0;3.0;1.0;30.0
5.0;1976.0;3.0;3.0;894.0;894.0;1.0;3.0;1.0;30.0
6.0;2002.0;4.0;4.0;860.0;1960.0;2.0;4.0;2.0;30.0
6.0;1971.0;3.0;3.0;483.0;987.0;1.0;3.0;1.0;18.0
7.0;2004.0;4.0;4.0;1414.0;1414.0;2.0;4.0;2.0;35.0
7.0;1993.0;4.0;4.0;996.0;1744.0;2.0;4.0;2.0;49.0
8.0;2007.0;5.0;5.0;1694.0;1694.0;2.0;4.0;3.0;40.0
6.0;1945.0;3.0;3.0;735.0;1487.0;1.0;3.0;1.0;24.0
8.0;2008.0;4.0;4.0;1566.0;1566.0;2.0;4.0;2.0;40.0
5.0;1945.0;3.0;3.0;686.0;866.0;1.0;4.0;0.0;45.0
5.0;1900.0;3.0;3.0;540.0;1440.0;1.0;3.0;1.0;20.0
6.0;1980.0;3.0;4.0;626.0;1217.0;1.0;3.0;1.0;36.0
7.0;1994.0;4.0;4.0;948.0;2110.0;2.0;4.0;2.0;35.0
7.0;1988.0;3.0;4.0;1845.0;1872.0;2.0;3.0;2.0;35.0
6.0;1910.0;3.0;2.0;1020.0;1928.0;2.0;2.0;1.0;48.0
6.0;1954.0;3.0;3.0;1367.0;1375.0;1.0;3.0;2.0;30.0
7.0;2003.0;4.0;4.0;840.0;1668.0;2.0;4.0;2.0;35.0
6.0;1958.0;4.0;4.0;1444.0;2144.0;2.0;4.0;2.0;42.0
3.0;1940.0;3.0;3.0;728.0;1306.0;1.0;2.0;0.0;6.0
8.0;2006.0;4.0;4.0;1573.0;1625.0;2.0;4.0;2.0;40.0
6.0;2004.0;4.0;4.0;798.0;1640.0;2.0;4.0;2.0;30.0
6.0;1964.0;3.0;4.0;1302.0;1302.0;2.0;4.0;1.0;42.0
5.0;1957.0;3.0;3.0;1314.0;1314.0;1.0;3.0;1.0;30.0
7.0;1999.0;4.0;4.0;975.0;2291.0;2.0;4.0;2.0;35.0
6.0;2003.0;4.0;4.0;864.0;1728.0;2.0;4.0;2.0;30.0
7.0;2006.0;4.0;4.0;1604.0;1604.0;2.0;4.0;2.0;35.0
7.0;2001.0;4.0;4.0;963.0;1792.0;2.0;4.0;2.0;35.0
5.0;1956.0;3.0;0.0;0.0;882.0;1.0;3.0;1.0;25.0
6.0;1962.0;3.0;3.0;1362.0;1382.0;1.0;3.0;2.0;30.0
8.0;2007.0;4.0;5.0;1482.0;2574.0;2.0;5.0;3.0;40.0
6.0;1977.0;3.0;4.0;506.0;1212.0;1.0;3.0;2.0;42.0
5.0;1929.0;3.0;3.0;926.0;1316.0;1.0;3.0;2.0;35.0
5.0;1925.0;3.0;2.0;680.0;764.0;1.0;3.0;2.0;25.0
6.0;1981.0;3.0;4.0;1422.0;1422.0;2.0;4.0;2.0;36.0
6.0;1997.0;3.0;4.0;802.0;1511.0;2.0;3.0;2.0;30.0
5.0;1939.0;3.0;3.0;720.0;2192.0;2.0;4.0;1.0;40.0
5.0;1940.0;3.0;3.0;740.0;778.0;1.0;3.0;1.0;30.0
6.0;1976.0;3.0;3.0;1143.0;1113.0;1.0;3.0;1.0;42.0
8.0;2006.0;4.0;4.0;1095.0;1939.0;2.0;4.0;3.0;40.0
7.0;1954.0;3.0;4.0;1385.0;1363.0;1.0;3.0;2.0;49.0
8.0;1999.0;4.0;4.0;1152.0;2270.0;2.0;4.0;3.0;56.0
6.0;1958.0;3.0;3.0;1240.0;1632.0;2.0;3.0;1.0;36.0
5.0;1982.0;3.0;3.0;816.0;816.0;1.0;3.0;1.0;35.0
7.0;1925.0;4.0;3.0;952.0;1548.0;2.0;5.0;2.0;49.0
7.0;2003.0;4.0;5.0;1560.0;1560.0;2.0;4.0;2.0;35.0
4.0;1951.0;3.0;3.0;864.0;864.0;1.0;3.0;2.0;20.0
9.0;2006.0;5.0;5.0;2121.0;2121.0;2.0;5.0;3.0;45.0
7.0;1977.0;3.0;4.0;1160.0;2022.0;2.0;3.0;2.0;35.0
7.0;1989.0;4.0;4.0;807.0;1982.0;2.0;4.0;2.0;42.0
6.0;2006.0;4.0;4.0;1262.0;1262.0;2.0;4.0;2.0;30.0
7.0;2007.0;4.0;4.0;1314.0;1314.0;2.0;4.0;2.0;35.0
8.0;2008.0;4.0;4.0;1468.0;1468.0;2.0;4.0;3.0;40.0
6.0;1992.0;4.0;4.0;1575.0;1575.0;2.0;4.0;2.0;30.0
7.0;2006.0;4.0;4.0;625.0;1250.0;2.0;4.0;2.0;35.0
6.0;1962.0;3.0;3.0;912.0;1734.0;1.0;4.0;2.0;42.0
4.0;1971.0;3.0;3.0;858.0;858.0;1.0;3.0;0.0;16.0
5.0;1967.0;3.0;3.0;882.0;900.0;1.0;3.0;1.0;25.0
